Nano Seconds,Value_of_n
5542ns,1432248 n
2708ns,1432249 n
3083ns,1432250 n
3417ns,1432251 n
2333ns,1432252 n
3917ns,1432253 n
2875ns,1432254 n
2583ns,1432255 n
2542ns,1432256 n
4417ns,1432257 n
2541ns,1432258 n
3708ns,1432259 n
2958ns,1432260 n
3208ns,1432261 n
3292ns,1432262 n
4708ns,1432263 n
2542ns,1432264 n
2792ns,1432265 n
3000ns,1432266 n
4834ns,1432267 n
4416ns,1432268 n
2917ns,1432269 n
3000ns,1432270 n
2625ns,1432271 n
3667ns,1432272 n
2583ns,1432273 n
2500ns,1432274 n
3000ns,1432275 n
2541ns,1432276 n
3208ns,1432277 n
3917ns,1432278 n
2417ns,1432279 n
3584ns,1432280 n
3750ns,1432281 n
5959ns,1432282 n
3666ns,1432283 n
2208ns,1432284 n
2541ns,1432285 n
2667ns,1432286 n
3875ns,1432287 n
2417ns,1432288 n
8209ns,1432289 n
2916ns,1432290 n
2500ns,1432291 n
2541ns,1432292 n
2708ns,1432293 n
3500ns,1432294 n
2750ns,1432295 n
2667ns,1432296 n
2459ns,1432297 n
4667ns,1432298 n
2875ns,1432299 n
2791ns,1432300 n
2709ns,1432301 n
3583ns,1432302 n
2625ns,1432303 n
2417ns,1432304 n
3000ns,1432305 n
4292ns,1432306 n
2333ns,1432307 n
2791ns,1432308 n
3875ns,1432309 n
2792ns,1432310 n
4708ns,1432311 n
2500ns,1432312 n
2584ns,1432313 n
3375ns,1432314 n
2375ns,1432315 n
2625ns,1432316 n
2625ns,1432317 n
3334ns,1432318 n
2542ns,1432319 n
2625ns,1432320 n
2791ns,1432321 n
2458ns,1432322 n
3209ns,1432323 n
2583ns,1432324 n
3917ns,1432325 n
3041ns,1432326 n
4542ns,1432327 n
2458ns,1432328 n
4792ns,1432329 n
2958ns,1432330 n
3292ns,1432331 n
2916ns,1432332 n
3708ns,1432333 n
2625ns,1432334 n
3334ns,1432335 n
2375ns,1432336 n
4959ns,1432337 n
2875ns,1432338 n
3292ns,1432339 n
2750ns,1432340 n
4084ns,1432341 n
2666ns,1432342 n
4042ns,1432343 n
3083ns,1432344 n
2584ns,1432345 n
2667ns,1432346 n
2791ns,1432347 n
2584ns,1432348 n
3500ns,1432349 n
2792ns,1432350 n
2625ns,1432351 n
2416ns,1432352 n
2709ns,1432353 n
4375ns,1432354 n
2209ns,1432355 n
2791ns,1432356 n
2583ns,1432357 n
5291ns,1432358 n
6125ns,1432359 n
2833ns,1432360 n
2667ns,1432361 n
2750ns,1432362 n
2625ns,1432363 n
3250ns,1432364 n
2667ns,1432365 n
3583ns,1432366 n
4750ns,1432367 n
2250ns,1432368 n
3166ns,1432369 n
4959ns,1432370 n
2666ns,1432371 n
3291ns,1432372 n
3833ns,1432373 n
2833ns,1432374 n
2917ns,1432375 n
2833ns,1432376 n
2833ns,1432377 n
3625ns,1432378 n
2833ns,1432379 n
2666ns,1432380 n
2917ns,1432381 n
4208ns,1432382 n
2583ns,1432383 n
2375ns,1432384 n
2875ns,1432385 n
2791ns,1432386 n
4375ns,1432387 n
5000ns,1432388 n
2750ns,1432389 n
2750ns,1432390 n
2708ns,1432391 n
2792ns,1432392 n
3750ns,1432393 n
2375ns,1432394 n
4166ns,1432395 n
2584ns,1432396 n
3083ns,1432397 n
3042ns,1432398 n
3250ns,1432399 n
2666ns,1432400 n
4083ns,1432401 n
3959ns,1432402 n
3083ns,1432403 n
3542ns,1432404 n
2750ns,1432405 n
3333ns,1432406 n
2583ns,1432407 n
2584ns,1432408 n
4458ns,1432409 n
2959ns,1432410 n
2458ns,1432411 n
2500ns,1432412 n
2541ns,1432413 n
3833ns,1432414 n
2750ns,1432415 n
3083ns,1432416 n
2583ns,1432417 n
2750ns,1432418 n
4208ns,1432419 n
2584ns,1432420 n
5167ns,1432421 n
2792ns,1432422 n
2583ns,1432423 n
2583ns,1432424 n
4709ns,1432425 n
3791ns,1432426 n
2541ns,1432427 n
3833ns,1432428 n
2666ns,1432429 n
2875ns,1432430 n
2416ns,1432431 n
2417ns,1432432 n
4875ns,1432433 n
5000ns,1432434 n
2750ns,1432435 n
2500ns,1432436 n
2750ns,1432437 n
2750ns,1432438 n
2667ns,1432439 n
3000ns,1432440 n
2458ns,1432441 n
2584ns,1432442 n
4208ns,1432443 n
2500ns,1432444 n
3125ns,1432445 n
4750ns,1432446 n
2541ns,1432447 n
1541ns,1432448 n
2709ns,1432449 n
2500ns,1432450 n
2541ns,1432451 n
3125ns,1432452 n
2959ns,1432453 n
2375ns,1432454 n
2708ns,1432455 n
2541ns,1432456 n
5042ns,1432457 n
3750ns,1432458 n
4250ns,1432459 n
3708ns,1432460 n
4041ns,1432461 n
4500ns,1432462 n
2709ns,1432463 n
2542ns,1432464 n
2625ns,1432465 n
3459ns,1432466 n
2584ns,1432467 n
4666ns,1432468 n
2667ns,1432469 n
2750ns,1432470 n
2375ns,1432471 n
4709ns,1432472 n
2625ns,1432473 n
4916ns,1432474 n
2417ns,1432475 n
2875ns,1432476 n
5667ns,1432477 n
4125ns,1432478 n
3708ns,1432479 n
2917ns,1432480 n
2416ns,1432481 n
2666ns,1432482 n
3375ns,1432483 n
3583ns,1432484 n
3208ns,1432485 n
2625ns,1432486 n
2500ns,1432487 n
3042ns,1432488 n
2584ns,1432489 n
2542ns,1432490 n
2625ns,1432491 n
2375ns,1432492 n
2584ns,1432493 n
2917ns,1432494 n
3000ns,1432495 n
3125ns,1432496 n
4667ns,1432497 n
2500ns,1432498 n
3708ns,1432499 n
3209ns,1432500 n
3625ns,1432501 n
3166ns,1432502 n
3042ns,1432503 n
5917ns,1432504 n
2750ns,1432505 n
5000ns,1432506 n
3459ns,1432507 n
2416ns,1432508 n
3334ns,1432509 n
2292ns,1432510 n
2625ns,1432511 n
2709ns,1432512 n
3917ns,1432513 n
2500ns,1432514 n
2958ns,1432515 n
3250ns,1432516 n
2583ns,1432517 n
4666ns,1432518 n
3125ns,1432519 n
4167ns,1432520 n
3083ns,1432521 n
2750ns,1432522 n
3875ns,1432523 n
3625ns,1432524 n
2541ns,1432525 n
3333ns,1432526 n
3125ns,1432527 n
2417ns,1432528 n
3041ns,1432529 n
3042ns,1432530 n
2625ns,1432531 n
2208ns,1432532 n
2750ns,1432533 n
4042ns,1432534 n
3000ns,1432535 n
2875ns,1432536 n
4916ns,1432537 n
4500ns,1432538 n
2625ns,1432539 n
3292ns,1432540 n
2167ns,1432541 n
2916ns,1432542 n
2625ns,1432543 n
3583ns,1432544 n
3959ns,1432545 n
6167ns,1432546 n
2583ns,1432547 n
2875ns,1432548 n
2584ns,1432549 n
2708ns,1432550 n
2625ns,1432551 n
3084ns,1432552 n
6125ns,1432553 n
2709ns,1432554 n
2750ns,1432555 n
2875ns,1432556 n
3083ns,1432557 n
2584ns,1432558 n
2500ns,1432559 n
3792ns,1432560 n
4125ns,1432561 n
3042ns,1432562 n
2959ns,1432563 n
2375ns,1432564 n
2625ns,1432565 n
2958ns,1432566 n
4250ns,1432567 n
6875ns,1432568 n
2583ns,1432569 n
2875ns,1432570 n
3250ns,1432571 n
2417ns,1432572 n
2667ns,1432573 n
2750ns,1432574 n
3000ns,1432575 n
2208ns,1432576 n
2500ns,1432577 n
2709ns,1432578 n
4084ns,1432579 n
4583ns,1432580 n
3792ns,1432581 n
2667ns,1432582 n
2500ns,1432583 n
3709ns,1432584 n
3708ns,1432585 n
3833ns,1432586 n
4542ns,1432587 n
3500ns,1432588 n
2541ns,1432589 n
3625ns,1432590 n
2458ns,1432591 n
2500ns,1432592 n
4292ns,1432593 n
3167ns,1432594 n
2916ns,1432595 n
2875ns,1432596 n
3750ns,1432597 n
2542ns,1432598 n
2666ns,1432599 n
2000ns,1432600 n
4667ns,1432601 n
3375ns,1432602 n
2292ns,1432603 n
4250ns,1432604 n
2667ns,1432605 n
2958ns,1432606 n
3209ns,1432607 n
2500ns,1432608 n
4083ns,1432609 n
2834ns,1432610 n
3000ns,1432611 n
2459ns,1432612 n
2333ns,1432613 n
4792ns,1432614 n
4542ns,1432615 n
3958ns,1432616 n
2667ns,1432617 n
3042ns,1432618 n
2333ns,1432619 n
3125ns,1432620 n
2625ns,1432621 n
3709ns,1432622 n
4791ns,1432623 n
2459ns,1432624 n
4125ns,1432625 n
2667ns,1432626 n
3958ns,1432627 n
2375ns,1432628 n
2750ns,1432629 n
2708ns,1432630 n
3292ns,1432631 n
2500ns,1432632 n
3875ns,1432633 n
3250ns,1432634 n
4083ns,1432635 n
2583ns,1432636 n
2459ns,1432637 n
3958ns,1432638 n
3583ns,1432639 n
2459ns,1432640 n
2875ns,1432641 n
2583ns,1432642 n
3500ns,1432643 n
6500ns,1432644 n
5250ns,1432645 n
3416ns,1432646 n
2709ns,1432647 n
2750ns,1432648 n
2500ns,1432649 n
3000ns,1432650 n
2792ns,1432651 n
2666ns,1432652 n
2584ns,1432653 n
4541ns,1432654 n
2625ns,1432655 n
2625ns,1432656 n
3125ns,1432657 n
2916ns,1432658 n
2834ns,1432659 n
2708ns,1432660 n
3542ns,1432661 n
2875ns,1432662 n
4166ns,1432663 n
2542ns,1432664 n
2375ns,1432665 n
3625ns,1432666 n
2625ns,1432667 n
2625ns,1432668 n
2583ns,1432669 n
2541ns,1432670 n
2792ns,1432671 n
2417ns,1432672 n
5708ns,1432673 n
4792ns,1432674 n
2500ns,1432675 n
2708ns,1432676 n
3333ns,1432677 n
2791ns,1432678 n
2500ns,1432679 n
2750ns,1432680 n
2459ns,1432681 n
6333ns,1432682 n
2916ns,1432683 n
2500ns,1432684 n
3833ns,1432685 n
2750ns,1432686 n
3708ns,1432687 n
3208ns,1432688 n
4042ns,1432689 n
3875ns,1432690 n
3500ns,1432691 n
2916ns,1432692 n
4417ns,1432693 n
3375ns,1432694 n
3334ns,1432695 n
3000ns,1432696 n
3792ns,1432697 n
5125ns,1432698 n
2625ns,1432699 n
2667ns,1432700 n
4042ns,1432701 n
2583ns,1432702 n
2542ns,1432703 n
2625ns,1432704 n
2917ns,1432705 n
3083ns,1432706 n
5000ns,1432707 n
4084ns,1432708 n
4458ns,1432709 n
3250ns,1432710 n
2750ns,1432711 n
2333ns,1432712 n
2708ns,1432713 n
2625ns,1432714 n
2750ns,1432715 n
2667ns,1432716 n
3084ns,1432717 n
2500ns,1432718 n
2833ns,1432719 n
2542ns,1432720 n
4833ns,1432721 n
4417ns,1432722 n
2583ns,1432723 n
2542ns,1432724 n
2708ns,1432725 n
2750ns,1432726 n
2958ns,1432727 n
3084ns,1432728 n
2375ns,1432729 n
3750ns,1432730 n
2584ns,1432731 n
2875ns,1432732 n
3125ns,1432733 n
2709ns,1432734 n
2916ns,1432735 n
2334ns,1432736 n
2917ns,1432737 n
7041ns,1432738 n
2750ns,1432739 n
2833ns,1432740 n
2417ns,1432741 n
7542ns,1432742 n
2625ns,1432743 n
4209ns,1432744 n
3125ns,1432745 n
3667ns,1432746 n
6666ns,1432747 n
3834ns,1432748 n
3250ns,1432749 n
3208ns,1432750 n
2667ns,1432751 n
2375ns,1432752 n
2584ns,1432753 n
3833ns,1432754 n
3000ns,1432755 n
3375ns,1432756 n
2500ns,1432757 n
2959ns,1432758 n
3583ns,1432759 n
2625ns,1432760 n
3000ns,1432761 n
2500ns,1432762 n
5708ns,1432763 n
2708ns,1432764 n
2667ns,1432765 n
2625ns,1432766 n
2917ns,1432767 n
3208ns,1432768 n
4375ns,1432769 n
4292ns,1432770 n
3250ns,1432771 n
3000ns,1432772 n
6000ns,1432773 n
3000ns,1432774 n
4167ns,1432775 n
2792ns,1432776 n
5708ns,1432777 n
2500ns,1432778 n
2750ns,1432779 n
4834ns,1432780 n
3917ns,1432781 n
3167ns,1432782 n
2333ns,1432783 n
3042ns,1432784 n
2666ns,1432785 n
3833ns,1432786 n
4292ns,1432787 n
2958ns,1432788 n
3167ns,1432789 n
2791ns,1432790 n
2875ns,1432791 n
2583ns,1432792 n
7583ns,1432793 n
2708ns,1432794 n
3167ns,1432795 n
4000ns,1432796 n
3500ns,1432797 n
2666ns,1432798 n
2500ns,1432799 n
2875ns,1432800 n
2500ns,1432801 n
3750ns,1432802 n
3417ns,1432803 n
2583ns,1432804 n
3542ns,1432805 n
2583ns,1432806 n
2625ns,1432807 n
2750ns,1432808 n
2667ns,1432809 n
2750ns,1432810 n
5458ns,1432811 n
5125ns,1432812 n
2500ns,1432813 n
3583ns,1432814 n
3542ns,1432815 n
2416ns,1432816 n
4875ns,1432817 n
2667ns,1432818 n
5041ns,1432819 n
2625ns,1432820 n
2834ns,1432821 n
2666ns,1432822 n
3292ns,1432823 n
5709ns,1432824 n
2792ns,1432825 n
2542ns,1432826 n
3000ns,1432827 n
2416ns,1432828 n
4000ns,1432829 n
2917ns,1432830 n
2584ns,1432831 n
2333ns,1432832 n
5208ns,1432833 n
3042ns,1432834 n
4042ns,1432835 n
3333ns,1432836 n
3458ns,1432837 n
2917ns,1432838 n
4459ns,1432839 n
4166ns,1432840 n
2458ns,1432841 n
3833ns,1432842 n
7791ns,1432843 n
3334ns,1432844 n
3459ns,1432845 n
3375ns,1432846 n
2375ns,1432847 n
2667ns,1432848 n
3084ns,1432849 n
2916ns,1432850 n
2667ns,1432851 n
2416ns,1432852 n
3209ns,1432853 n
2916ns,1432854 n
3625ns,1432855 n
2458ns,1432856 n
2667ns,1432857 n
2584ns,1432858 n
2500ns,1432859 n
3292ns,1432860 n
2583ns,1432861 n
2417ns,1432862 n
2958ns,1432863 n
2250ns,1432864 n
3084ns,1432865 n
2541ns,1432866 n
7292ns,1432867 n
3292ns,1432868 n
2625ns,1432869 n
2917ns,1432870 n
2500ns,1432871 n
3416ns,1432872 n
2459ns,1432873 n
4125ns,1432874 n
3083ns,1432875 n
2625ns,1432876 n
2791ns,1432877 n
6334ns,1432878 n
2875ns,1432879 n
2625ns,1432880 n
2666ns,1432881 n
2459ns,1432882 n
3833ns,1432883 n
5042ns,1432884 n
2792ns,1432885 n
2458ns,1432886 n
3500ns,1432887 n
2583ns,1432888 n
4583ns,1432889 n
3042ns,1432890 n
2541ns,1432891 n
2500ns,1432892 n
3083ns,1432893 n
2583ns,1432894 n
5334ns,1432895 n
3000ns,1432896 n
2583ns,1432897 n
2459ns,1432898 n
2333ns,1432899 n
2625ns,1432900 n
4542ns,1432901 n
4292ns,1432902 n
2625ns,1432903 n
2625ns,1432904 n
3000ns,1432905 n
2625ns,1432906 n
2833ns,1432907 n
4042ns,1432908 n
3042ns,1432909 n
2792ns,1432910 n
2791ns,1432911 n
4042ns,1432912 n
3125ns,1432913 n
4000ns,1432914 n
3083ns,1432915 n
2459ns,1432916 n
4250ns,1432917 n
2667ns,1432918 n
2541ns,1432919 n
2666ns,1432920 n
4292ns,1432921 n
4625ns,1432922 n
2416ns,1432923 n
4667ns,1432924 n
2750ns,1432925 n
3000ns,1432926 n
2625ns,1432927 n
2458ns,1432928 n
4084ns,1432929 n
3167ns,1432930 n
2541ns,1432931 n
3000ns,1432932 n
4000ns,1432933 n
6167ns,1432934 n
2625ns,1432935 n
5334ns,1432936 n
3084ns,1432937 n
2875ns,1432938 n
4292ns,1432939 n
2667ns,1432940 n
6042ns,1432941 n
3000ns,1432942 n
2542ns,1432943 n
2542ns,1432944 n
2792ns,1432945 n
2750ns,1432946 n
3292ns,1432947 n
2542ns,1432948 n
2541ns,1432949 n
3625ns,1432950 n
3500ns,1432951 n
2500ns,1432952 n
4000ns,1432953 n
2500ns,1432954 n
2958ns,1432955 n
2708ns,1432956 n
2500ns,1432957 n
2625ns,1432958 n
2709ns,1432959 n
2500ns,1432960 n
2583ns,1432961 n
3042ns,1432962 n
4583ns,1432963 n
2208ns,1432964 n
2875ns,1432965 n
2500ns,1432966 n
4500ns,1432967 n
2750ns,1432968 n
2667ns,1432969 n
2959ns,1432970 n
2875ns,1432971 n
2500ns,1432972 n
3291ns,1432973 n
2708ns,1432974 n
2875ns,1432975 n
2417ns,1432976 n
3125ns,1432977 n
5750ns,1432978 n
2625ns,1432979 n
2833ns,1432980 n
2875ns,1432981 n
2541ns,1432982 n
4125ns,1432983 n
2750ns,1432984 n
4666ns,1432985 n
5417ns,1432986 n
2500ns,1432987 n
4250ns,1432988 n
3417ns,1432989 n
2958ns,1432990 n
3875ns,1432991 n
2500ns,1432992 n
4625ns,1432993 n
4792ns,1432994 n
3875ns,1432995 n
4792ns,1432996 n
2416ns,1432997 n
3166ns,1432998 n
3333ns,1432999 n
3000ns,1433000 n
4959ns,1433001 n
2458ns,1433002 n
3042ns,1433003 n
2625ns,1433004 n
2625ns,1433005 n
2375ns,1433006 n
2833ns,1433007 n
2584ns,1433008 n
4000ns,1433009 n
3125ns,1433010 n
2459ns,1433011 n
3042ns,1433012 n
2833ns,1433013 n
4750ns,1433014 n
2834ns,1433015 n
2958ns,1433016 n
2541ns,1433017 n
3625ns,1433018 n
2625ns,1433019 n
4084ns,1433020 n
2417ns,1433021 n
2750ns,1433022 n
5292ns,1433023 n
2500ns,1433024 n
3125ns,1433025 n
2792ns,1433026 n
4875ns,1433027 n
2625ns,1433028 n
2542ns,1433029 n
4333ns,1433030 n
2583ns,1433031 n
2334ns,1433032 n
2917ns,1433033 n
3042ns,1433034 n
2917ns,1433035 n
2500ns,1433036 n
2875ns,1433037 n
2750ns,1433038 n
4500ns,1433039 n
2583ns,1433040 n
2500ns,1433041 n
2750ns,1433042 n
3042ns,1433043 n
4792ns,1433044 n
3000ns,1433045 n
2667ns,1433046 n
2792ns,1433047 n
5542ns,1433048 n
2958ns,1433049 n
3292ns,1433050 n
3875ns,1433051 n
2917ns,1433052 n
2542ns,1433053 n
2667ns,1433054 n
3000ns,1433055 n
2916ns,1433056 n
2625ns,1433057 n
2875ns,1433058 n
2583ns,1433059 n
3667ns,1433060 n
3583ns,1433061 n
2542ns,1433062 n
5042ns,1433063 n
2875ns,1433064 n
2791ns,1433065 n
2917ns,1433066 n
3917ns,1433067 n
2625ns,1433068 n
3167ns,1433069 n
2792ns,1433070 n
2542ns,1433071 n
2458ns,1433072 n
4917ns,1433073 n
3792ns,1433074 n
3333ns,1433075 n
3458ns,1433076 n
4083ns,1433077 n
5834ns,1433078 n
2750ns,1433079 n
2625ns,1433080 n
2542ns,1433081 n
4083ns,1433082 n
2625ns,1433083 n
2167ns,1433084 n
2792ns,1433085 n
2666ns,1433086 n
4666ns,1433087 n
2542ns,1433088 n
3666ns,1433089 n
4000ns,1433090 n
2583ns,1433091 n
2542ns,1433092 n
3125ns,1433093 n
3209ns,1433094 n
2750ns,1433095 n
5125ns,1433096 n
3292ns,1433097 n
2625ns,1433098 n
2583ns,1433099 n
2917ns,1433100 n
2541ns,1433101 n
2875ns,1433102 n
2667ns,1433103 n
3875ns,1433104 n
5417ns,1433105 n
3291ns,1433106 n
2583ns,1433107 n
2584ns,1433108 n
7583ns,1433109 n
3959ns,1433110 n
7875ns,1433111 n
4291ns,1433112 n
2583ns,1433113 n
3667ns,1433114 n
2708ns,1433115 n
2625ns,1433116 n
2834ns,1433117 n
2750ns,1433118 n
2625ns,1433119 n
2625ns,1433120 n
3375ns,1433121 n
2917ns,1433122 n
2625ns,1433123 n
2792ns,1433124 n
3042ns,1433125 n
2542ns,1433126 n
4375ns,1433127 n
4500ns,1433128 n
2583ns,1433129 n
3125ns,1433130 n
2500ns,1433131 n
3000ns,1433132 n
3291ns,1433133 n
3416ns,1433134 n
3750ns,1433135 n
3417ns,1433136 n
2333ns,1433137 n
2834ns,1433138 n
5208ns,1433139 n
3875ns,1433140 n
4417ns,1433141 n
3958ns,1433142 n
7833ns,1433143 n
2584ns,1433144 n
3375ns,1433145 n
3709ns,1433146 n
4792ns,1433147 n
2709ns,1433148 n
2625ns,1433149 n
2750ns,1433150 n
2667ns,1433151 n
2834ns,1433152 n
3792ns,1433153 n
3583ns,1433154 n
4875ns,1433155 n
3208ns,1433156 n
4042ns,1433157 n
7250ns,1433158 n
3250ns,1433159 n
3333ns,1433160 n
4834ns,1433161 n
2916ns,1433162 n
2875ns,1433163 n
2917ns,1433164 n
3000ns,1433165 n
3375ns,1433166 n
5625ns,1433167 n
3125ns,1433168 n
5166ns,1433169 n
3542ns,1433170 n
5000ns,1433171 n
3083ns,1433172 n
4375ns,1433173 n
7458ns,1433174 n
3167ns,1433175 n
2584ns,1433176 n
2750ns,1433177 n
3125ns,1433178 n
4625ns,1433179 n
3417ns,1433180 n
3250ns,1433181 n
3042ns,1433182 n
8708ns,1433183 n
2625ns,1433184 n
3083ns,1433185 n
5666ns,1433186 n
3334ns,1433187 n
2791ns,1433188 n
2834ns,1433189 n
4083ns,1433190 n
3542ns,1433191 n
2708ns,1433192 n
3084ns,1433193 n
6333ns,1433194 n
4000ns,1433195 n
3917ns,1433196 n
4000ns,1433197 n
4041ns,1433198 n
2625ns,1433199 n
2917ns,1433200 n
3125ns,1433201 n
2833ns,1433202 n
2583ns,1433203 n
2542ns,1433204 n
3333ns,1433205 n
3625ns,1433206 n
2667ns,1433207 n
2625ns,1433208 n
3500ns,1433209 n
3542ns,1433210 n
3000ns,1433211 n
2375ns,1433212 n
2541ns,1433213 n
3458ns,1433214 n
2833ns,1433215 n
2292ns,1433216 n
2709ns,1433217 n
5750ns,1433218 n
2667ns,1433219 n
2666ns,1433220 n
3750ns,1433221 n
2584ns,1433222 n
2834ns,1433223 n
2666ns,1433224 n
2542ns,1433225 n
3542ns,1433226 n
5459ns,1433227 n
3458ns,1433228 n
3083ns,1433229 n
4750ns,1433230 n
5125ns,1433231 n
3417ns,1433232 n
3917ns,1433233 n
2625ns,1433234 n
2709ns,1433235 n
2708ns,1433236 n
3125ns,1433237 n
3125ns,1433238 n
2667ns,1433239 n
2709ns,1433240 n
4708ns,1433241 n
2667ns,1433242 n
2667ns,1433243 n
3875ns,1433244 n
2375ns,1433245 n
3166ns,1433246 n
4708ns,1433247 n
2333ns,1433248 n
7000ns,1433249 n
2792ns,1433250 n
2625ns,1433251 n
2416ns,1433252 n
3625ns,1433253 n
3375ns,1433254 n
2750ns,1433255 n
3125ns,1433256 n
2792ns,1433257 n
2583ns,1433258 n
4084ns,1433259 n
2792ns,1433260 n
4666ns,1433261 n
2750ns,1433262 n
2500ns,1433263 n
3583ns,1433264 n
3583ns,1433265 n
2458ns,1433266 n
2167ns,1433267 n
3125ns,1433268 n
2791ns,1433269 n
2750ns,1433270 n
4083ns,1433271 n
3750ns,1433272 n
2458ns,1433273 n
2708ns,1433274 n
3083ns,1433275 n
3833ns,1433276 n
4458ns,1433277 n
3000ns,1433278 n
4083ns,1433279 n
2625ns,1433280 n
3958ns,1433281 n
2875ns,1433282 n
4708ns,1433283 n
3125ns,1433284 n
2959ns,1433285 n
2916ns,1433286 n
3625ns,1433287 n
2458ns,1433288 n
2291ns,1433289 n
2625ns,1433290 n
4750ns,1433291 n
3834ns,1433292 n
2500ns,1433293 n
4333ns,1433294 n
3084ns,1433295 n
2208ns,1433296 n
5042ns,1433297 n
2750ns,1433298 n
2667ns,1433299 n
2750ns,1433300 n
2625ns,1433301 n
2583ns,1433302 n
2667ns,1433303 n
2667ns,1433304 n
4000ns,1433305 n
2708ns,1433306 n
2666ns,1433307 n
2625ns,1433308 n
2583ns,1433309 n
2791ns,1433310 n
4625ns,1433311 n
3500ns,1433312 n
2791ns,1433313 n
2667ns,1433314 n
2917ns,1433315 n
3000ns,1433316 n
4334ns,1433317 n
2625ns,1433318 n
4583ns,1433319 n
3125ns,1433320 n
2584ns,1433321 n
2541ns,1433322 n
5083ns,1433323 n
2500ns,1433324 n
2834ns,1433325 n
2541ns,1433326 n
4667ns,1433327 n
2875ns,1433328 n
2542ns,1433329 n
2833ns,1433330 n
4375ns,1433331 n
4584ns,1433332 n
2625ns,1433333 n
2875ns,1433334 n
3292ns,1433335 n
2625ns,1433336 n
2583ns,1433337 n
2542ns,1433338 n
6083ns,1433339 n
2875ns,1433340 n
2750ns,1433341 n
2709ns,1433342 n
2916ns,1433343 n
2292ns,1433344 n
4292ns,1433345 n
4541ns,1433346 n
3125ns,1433347 n
3542ns,1433348 n
3083ns,1433349 n
4750ns,1433350 n
2666ns,1433351 n
2625ns,1433352 n
2500ns,1433353 n
3167ns,1433354 n
2375ns,1433355 n
3125ns,1433356 n
2458ns,1433357 n
3125ns,1433358 n
4041ns,1433359 n
2375ns,1433360 n
4375ns,1433361 n
3708ns,1433362 n
2625ns,1433363 n
2709ns,1433364 n
2458ns,1433365 n
2917ns,1433366 n
2708ns,1433367 n
4875ns,1433368 n
4458ns,1433369 n
2833ns,1433370 n
2583ns,1433371 n
3875ns,1433372 n
2666ns,1433373 n
2584ns,1433374 n
2541ns,1433375 n
2625ns,1433376 n
2541ns,1433377 n
3334ns,1433378 n
3000ns,1433379 n
3459ns,1433380 n
5417ns,1433381 n
2750ns,1433382 n
2875ns,1433383 n
2458ns,1433384 n
2875ns,1433385 n
2500ns,1433386 n
6708ns,1433387 n
3125ns,1433388 n
2750ns,1433389 n
2958ns,1433390 n
2709ns,1433391 n
3916ns,1433392 n
3000ns,1433393 n
2875ns,1433394 n
6209ns,1433395 n
2500ns,1433396 n
2708ns,1433397 n
3250ns,1433398 n
4000ns,1433399 n
2917ns,1433400 n
3250ns,1433401 n
4042ns,1433402 n
2708ns,1433403 n
2625ns,1433404 n
3708ns,1433405 n
3167ns,1433406 n
4500ns,1433407 n
2334ns,1433408 n
2708ns,1433409 n
3458ns,1433410 n
4167ns,1433411 n
2416ns,1433412 n
2417ns,1433413 n
2708ns,1433414 n
2958ns,1433415 n
5459ns,1433416 n
2416ns,1433417 n
2625ns,1433418 n
2959ns,1433419 n
2791ns,1433420 n
2792ns,1433421 n
3167ns,1433422 n
2458ns,1433423 n
2750ns,1433424 n
2958ns,1433425 n
2542ns,1433426 n
2667ns,1433427 n
3167ns,1433428 n
2750ns,1433429 n
3167ns,1433430 n
3916ns,1433431 n
2625ns,1433432 n
2667ns,1433433 n
5042ns,1433434 n
2833ns,1433435 n
2708ns,1433436 n
2458ns,1433437 n
3500ns,1433438 n
3792ns,1433439 n
2250ns,1433440 n
3125ns,1433441 n
3542ns,1433442 n
4958ns,1433443 n
6125ns,1433444 n
3042ns,1433445 n
2542ns,1433446 n
3833ns,1433447 n
3750ns,1433448 n
3708ns,1433449 n
2667ns,1433450 n
4458ns,1433451 n
2542ns,1433452 n
3792ns,1433453 n
2875ns,1433454 n
3334ns,1433455 n
2541ns,1433456 n
2666ns,1433457 n
2541ns,1433458 n
4250ns,1433459 n
2833ns,1433460 n
5375ns,1433461 n
2583ns,1433462 n
2792ns,1433463 n
4125ns,1433464 n
3833ns,1433465 n
3959ns,1433466 n
2917ns,1433467 n
4417ns,1433468 n
2750ns,1433469 n
3292ns,1433470 n
2458ns,1433471 n
2458ns,1433472 n
2459ns,1433473 n
3084ns,1433474 n
2709ns,1433475 n
2750ns,1433476 n
2583ns,1433477 n
3959ns,1433478 n
3875ns,1433479 n
2542ns,1433480 n
2667ns,1433481 n
2541ns,1433482 n
3709ns,1433483 n
3250ns,1433484 n
2666ns,1433485 n
2666ns,1433486 n
3209ns,1433487 n
2666ns,1433488 n
2625ns,1433489 n
4583ns,1433490 n
3458ns,1433491 n
2583ns,1433492 n
3583ns,1433493 n
2667ns,1433494 n
2875ns,1433495 n
2458ns,1433496 n
3083ns,1433497 n
2791ns,1433498 n
3750ns,1433499 n
4542ns,1433500 n
5417ns,1433501 n
3583ns,1433502 n
2666ns,1433503 n
2333ns,1433504 n
3666ns,1433505 n
8333ns,1433506 n
5500ns,1433507 n
3000ns,1433508 n
2791ns,1433509 n
3042ns,1433510 n
3000ns,1433511 n
2834ns,1433512 n
2500ns,1433513 n
2667ns,1433514 n
2875ns,1433515 n
2416ns,1433516 n
2625ns,1433517 n
4166ns,1433518 n
